"id","team","year","tablename","value"
5290,"Wagner",2015,"Vs. Teams 51-100 Power Rating","-13.7"
5291,"Grambling St",2015,"Vs. Teams 51-100 Power Rating","-34.6"
5292,"Kansas",2016,"Predictive Power Rating","21.2"
5293,"N Carolina",2016,"Predictive Power Rating","20.4"
5294,"Virginia",2016,"Predictive Power Rating","19.4"
5295,"Purdue",2016,"Predictive Power Rating","18.2"
5296,"Kentucky",2016,"Predictive Power Rating","17.9"
5297,"Duke",2016,"Predictive Power Rating","17.6"
5298,"Arizona",2016,"Predictive Power Rating","16.4"
5299,"Texas A&M",2016,"Predictive Power Rating","15.6"
5300,"Iowa St",2016,"Predictive Power Rating","14.8"
5301,"Gonzaga",2016,"Predictive Power Rating","14.7"
5302,"Oregon",2016,"Predictive Power Rating","14.1"
5303,"Baylor",2016,"Predictive Power Rating","14.0"
5304,"Connecticut",2016,"Predictive Power Rating","13.9"
5305,"Florida",2016,"Predictive Power Rating","12.6"
5306,"Texas",2016,"Predictive Power Rating","12.5"
5307,"Wisconsin",2016,"Predictive Power Rating","11.5"
5308,"BYU",2016,"Predictive Power Rating","10.7"
5309,"St Marys",2016,"Predictive Power Rating","10.7"
5310,"Creighton",2016,"Predictive Power Rating","10.4"
5311,"Dayton",2016,"Predictive Power Rating","10.1"
5312,"Clemson",2016,"Predictive Power Rating","9.8"
5313,"S Carolina",2016,"Predictive Power Rating","9.5"
5314,"Yale",2016,"Predictive Power Rating","9.4"
5315,"Texas Tech",2016,"Predictive Power Rating","9.1"
5316,"Colorado",2016,"Predictive Power Rating","8.8"
5317,"Northwestern",2016,"Predictive Power Rating","8.5"
5318,"San Diego St",2016,"Predictive Power Rating","8.3"
5319,"NC State",2016,"Predictive Power Rating","8.0"
5320,"Houston",2016,"Predictive Power Rating","7.8"
5321,"Akron",2016,"Predictive Power Rating","6.7"
5322,"Boise St",2016,"Predictive Power Rating","6.7"
5323,"Nebraska",2016,"Predictive Power Rating","6.7"
5324,"Tennessee",2016,"Predictive Power Rating","6.1"
5325,"Alabama",2016,"Predictive Power Rating","5.7"
5326,"S Dakota St",2016,"Predictive Power Rating","5.6"
5327,"Oakland",2016,"Predictive Power Rating","5.6"
5328,"Marquette",2016,"Predictive Power Rating","5.4"
5329,"UAB",2016,"Predictive Power Rating","4.9"
5330,"James Mad",2016,"Predictive Power Rating","4.6"
5331,"Illinois",2016,"Predictive Power Rating","4.0"
5332,"New Mexico",2016,"Predictive Power Rating","4.0"
5333,"Lg Beach St",2016,"Predictive Power Rating","2.9"
5334,"Vermont",2016,"Predictive Power Rating","2.0"
5335,"Nevada",2016,"Predictive Power Rating","1.7"
5336,"Col Charlestn",2016,"Predictive Power Rating","1.4"
5337,"Morehead St",2016,"Predictive Power Rating","0.9"
5338,"Duquesne",2016,"Predictive Power Rating","0.8"
5339,"Colorado St",2016,"Predictive Power Rating","0.7"
5340,"Grd Canyon",2016,"Predictive Power Rating","0.5"
5341,"Auburn",2016,"Predictive Power Rating","-0.6"
5342,"Wash State",2016,"Predictive Power Rating","-1.6"
5343,"W Kentucky",2016,"Predictive Power Rating","-1.6"
5344,"Wagner",2016,"Predictive Power Rating","-2.3"
5345,"St Peters",2016,"Predictive Power Rating","-3.4"
5346,"Samford",2016,"Predictive Power Rating","-4.8"
5347,"Drake",2016,"Predictive Power Rating","-5.2"
5348,"Colgate",2016,"Predictive Power Rating","-5.3"
5349,"Montana St",2016,"Predictive Power Rating","-6.6"
5350,"Longwood",2016,"Predictive Power Rating","-8.8"
5351,"Stetson",2016,"Predictive Power Rating","-8.9"
5352,"Howard",2016,"Predictive Power Rating","-11.3"
5353,"McNeese St",2016,"Predictive Power Rating","-13.4"
5354,"Grambling St",2016,"Predictive Power Rating","-16.3"
5355,"Kansas",2016,"Strength of Schedule Power Rating","11.8"
5356,"Virginia",2016,"Strength of Schedule Power Rating","11.7"
5357,"N Carolina",2016,"Strength of Schedule Power Rating","10.9"
5358,"Iowa St",2016,"Strength of Schedule Power Rating","10.6"
5359,"Texas",2016,"Strength of Schedule Power Rating","10.5"
5360,"Duke",2016,"Strength of Schedule Power Rating","10.4"
5361,"Baylor",2016,"Strength of Schedule Power Rating","10.0"
5362,"Purdue",2016,"Strength of Schedule Power Rating","9.2"
5363,"Florida",2016,"Strength of Schedule Power Rating","9.1"
5364,"Kentucky",2016,"Strength of Schedule Power Rating","8.9"
5365,"Wisconsin",2016,"Strength of Schedule Power Rating","8.5"
5366,"Texas Tech",2016,"Strength of Schedule Power Rating","8.3"
5367,"Texas A&M",2016,"Strength of Schedule Power Rating","7.8"
5368,"Oregon",2016,"Strength of Schedule Power Rating","7.6"
5369,"Arizona",2016,"Strength of Schedule Power Rating","7.3"
5370,"NC State",2016,"Strength of Schedule Power Rating","7.2"
5371,"Connecticut",2016,"Strength of Schedule Power Rating","7.1"
5372,"Clemson",2016,"Strength of Schedule Power Rating","6.9"
5373,"Alabama",2016,"Strength of Schedule Power Rating","6.9"
5374,"Creighton",2016,"Strength of Schedule Power Rating","6.6"
5375,"Tennessee",2016,"Strength of Schedule Power Rating","6.4"
5376,"Colorado",2016,"Strength of Schedule Power Rating","6.1"
5377,"Nebraska",2016,"Strength of Schedule Power Rating","5.9"
5378,"Northwestern",2016,"Strength of Schedule Power Rating","5.4"
5379,"Illinois",2016,"Strength of Schedule Power Rating","5.3"
5380,"Auburn",2016,"Strength of Schedule Power Rating","5.2"
5381,"Gonzaga",2016,"Strength of Schedule Power Rating","5.1"
5382,"S Carolina",2016,"Strength of Schedule Power Rating","4.8"
5383,"Marquette",2016,"Strength of Schedule Power Rating","4.5"
5384,"Dayton",2016,"Strength of Schedule Power Rating","4.5"
5385,"Wash State",2016,"Strength of Schedule Power Rating","3.4"
5386,"Houston",2016,"Strength of Schedule Power Rating","2.9"
5387,"BYU",2016,"Strength of Schedule Power Rating","2.8"
5388,"San Diego St",2016,"Strength of Schedule Power Rating","2.8"
5389,"Lg Beach St",2016,"Strength of Schedule Power Rating","2.7"
5390,"Boise St",2016,"Strength of Schedule Power Rating","2.1"
5391,"Yale",2016,"Strength of Schedule Power Rating","2.0"
5392,"St Marys",2016,"Strength of Schedule Power Rating","1.7"
5393,"New Mexico",2016,"Strength of Schedule Power Rating","1.6"
5394,"Oakland",2016,"Strength of Schedule Power Rating","0.9"
5395,"Duquesne",2016,"Strength of Schedule Power Rating","0.7"
5396,"Nevada",2016,"Strength of Schedule Power Rating","0.7"
5397,"Akron",2016,"Strength of Schedule Power Rating","0.3"
5398,"James Mad",2016,"Strength of Schedule Power Rating","0.0"
5399,"Col Charlestn",2016,"Strength of Schedule Power Rating","-0.2"
5400,"Colorado St",2016,"Strength of Schedule Power Rating","-0.5"
5401,"S Dakota St",2016,"Strength of Schedule Power Rating","-0.8"
5402,"Vermont",2016,"Strength of Schedule Power Rating","-1.3"
5403,"Drake",2016,"Strength of Schedule Power Rating","-1.7"
5404,"Morehead St",2016,"Strength of Schedule Power Rating","-2.0"
5405,"W Kentucky",2016,"Strength of Schedule Power Rating","-2.0"
5406,"UAB",2016,"Strength of Schedule Power Rating","-2.0"
5407,"St Peters",2016,"Strength of Schedule Power Rating","-2.8"
5408,"Colgate",2016,"Strength of Schedule Power Rating","-3.5"
5409,"Samford",2016,"Strength of Schedule Power Rating","-4.2"
5410,"Grd Canyon",2016,"Strength of Schedule Power Rating","-4.5"
5411,"Montana St",2016,"Strength of Schedule Power Rating","-5.1"
5412,"Longwood",2016,"Strength of Schedule Power Rating","-5.6"
5413,"Stetson",2016,"Strength of Schedule Power Rating","-6.2"
5414,"Wagner",2016,"Strength of Schedule Power Rating","-7.0"
5415,"Howard",2016,"Strength of Schedule Power Rating","-9.0"
5416,"McNeese St",2016,"Strength of Schedule Power Rating","-9.5"
5417,"Grambling St",2016,"Strength of Schedule Power Rating","-11.3"
5418,"Kansas",2016,"Last 5 Games Power Rating","28.5"
5419,"N Carolina",2016,"Last 5 Games Power Rating","26.8"
5420,"Purdue",2016,"Last 5 Games Power Rating","25.5"
5421,"Oregon",2016,"Last 5 Games Power Rating","25.0"
5422,"Virginia",2016,"Last 5 Games Power Rating","24.9"
5423,"Texas A&M",2016,"Last 5 Games Power Rating","24.1"
5424,"Kentucky",2016,"Last 5 Games Power Rating","21.1"
5425,"Gonzaga",2016,"Last 5 Games Power Rating","18.7"
5426,"San Diego St",2016,"Last 5 Games Power Rating","18.2"
5427,"Baylor",2016,"Last 5 Games Power Rating","17.7"
5428,"BYU",2016,"Last 5 Games Power Rating","16.4"
5429,"Iowa St",2016,"Last 5 Games Power Rating","16.1"
5430,"Arizona",2016,"Last 5 Games Power Rating","15.6"
5431,"Colorado",2016,"Last 5 Games Power Rating","15.5"
5432,"Northwestern",2016,"Last 5 Games Power Rating","14.7"
5433,"Houston",2016,"Last 5 Games Power Rating","14.1"
5434,"Wisconsin",2016,"Last 5 Games Power Rating","13.8"
5435,"Yale",2016,"Last 5 Games Power Rating","13.2"
5436,"S Carolina",2016,"Last 5 Games Power Rating","12.7"
5437,"Creighton",2016,"Last 5 Games Power Rating","11.4"
5438,"Clemson",2016,"Last 5 Games Power Rating","10.5"
5439,"Florida",2016,"Last 5 Games Power Rating","10.1"
5440,"Texas",2016,"Last 5 Games Power Rating","10.1"
5441,"St Marys",2016,"Last 5 Games Power Rating","9.7"
5442,"Connecticut",2016,"Last 5 Games Power Rating","9.6"
5443,"Dayton",2016,"Last 5 Games Power Rating","8.6"
5444,"Duke",2016,"Last 5 Games Power Rating","8.3"
5445,"Oakland",2016,"Last 5 Games Power Rating","7.2"
5446,"Tennessee",2016,"Last 5 Games Power Rating","7.1"
5447,"Akron",2016,"Last 5 Games Power Rating","6.7"
5448,"Nebraska",2016,"Last 5 Games Power Rating","6.7"
5449,"Boise St",2016,"Last 5 Games Power Rating","6.1"
5450,"Texas Tech",2016,"Last 5 Games Power Rating","6.1"
5451,"Illinois",2016,"Last 5 Games Power Rating","5.9"
5452,"Vermont",2016,"Last 5 Games Power Rating","5.8"
5453,"NC State",2016,"Last 5 Games Power Rating","4.7"
5454,"Stetson",2016,"Last 5 Games Power Rating","3.7"
5455,"Colorado St",2016,"Last 5 Games Power Rating","3.7"
5456,"Lg Beach St",2016,"Last 5 Games Power Rating","3.6"
5457,"S Dakota St",2016,"Last 5 Games Power Rating","3.6"
5458,"Alabama",2016,"Last 5 Games Power Rating","3.6"
5459,"W Kentucky",2016,"Last 5 Games Power Rating","2.5"
5460,"James Mad",2016,"Last 5 Games Power Rating","1.8"
5461,"Marquette",2016,"Last 5 Games Power Rating","1.8"
5462,"Morehead St",2016,"Last 5 Games Power Rating","1.6"
5463,"Col Charlestn",2016,"Last 5 Games Power Rating","0.0"
5464,"UAB",2016,"Last 5 Games Power Rating","-0.1"
5465,"St Peters",2016,"Last 5 Games Power Rating","-0.4"
5466,"Grd Canyon",2016,"Last 5 Games Power Rating","-0.8"
5467,"Nevada",2016,"Last 5 Games Power Rating","-1.5"
5468,"Duquesne",2016,"Last 5 Games Power Rating","-3.8"
5469,"Wagner",2016,"Last 5 Games Power Rating","-4.1"
5470,"Montana St",2016,"Last 5 Games Power Rating","-4.6"
5471,"Wash State",2016,"Last 5 Games Power Rating","-4.8"
5472,"Drake",2016,"Last 5 Games Power Rating","-5.1"
5473,"Longwood",2016,"Last 5 Games Power Rating","-5.5"
5474,"Samford",2016,"Last 5 Games Power Rating","-5.6"
5475,"Auburn",2016,"Last 5 Games Power Rating","-6.6"
5476,"New Mexico",2016,"Last 5 Games Power Rating","-7.1"
5477,"Colgate",2016,"Last 5 Games Power Rating","-9.2"
5478,"McNeese St",2016,"Last 5 Games Power Rating","-12.3"
5479,"Howard",2016,"Last 5 Games Power Rating","-13.0"
5480,"Grambling St",2016,"Last 5 Games Power Rating","-16.5"
5481,"Kansas",2016,"Last 10 Games Power Rating","25.8"
5482,"N Carolina",2016,"Last 10 Games Power Rating","25.6"
5483,"Kentucky",2016,"Last 10 Games Power Rating","24.0"
5484,"Virginia",2016,"Last 10 Games Power Rating","22.9"
5485,"Purdue",2016,"Last 10 Games Power Rating","19.6"
5486,"Texas A&M",2016,"Last 10 Games Power Rating","17.4"
5487,"Arizona",2016,"Last 10 Games Power Rating","16.9"
5488,"Oregon",2016,"Last 10 Games Power Rating","16.7"
5489,"Baylor",2016,"Last 10 Games Power Rating","16.0"
5490,"Gonzaga",2016,"Last 10 Games Power Rating","15.9"
5491,"Wisconsin",2016,"Last 10 Games Power Rating","15.2"
5492,"BYU",2016,"Last 10 Games Power Rating","14.5"
5493,"Duke",2016,"Last 10 Games Power Rating","14.1"
5494,"Iowa St",2016,"Last 10 Games Power Rating","14.1"
5495,"Houston",2016,"Last 10 Games Power Rating","13.0"
5496,"San Diego St",2016,"Last 10 Games Power Rating","12.9"
5497,"Yale",2016,"Last 10 Games Power Rating","12.6"
5498,"Texas Tech",2016,"Last 10 Games Power Rating","12.3"
5499,"Connecticut",2016,"Last 10 Games Power Rating","12.0"
5500,"Northwestern",2016,"Last 10 Games Power Rating","11.7"
5501,"Creighton",2016,"Last 10 Games Power Rating","11.5"
5502,"Texas",2016,"Last 10 Games Power Rating","11.1"
5503,"Clemson",2016,"Last 10 Games Power Rating","10.8"
5504,"S Carolina",2016,"Last 10 Games Power Rating","10.0"
5505,"Colorado",2016,"Last 10 Games Power Rating","8.7"
5506,"St Marys",2016,"Last 10 Games Power Rating","8.1"
5507,"Florida",2016,"Last 10 Games Power Rating","7.8"
5508,"Oakland",2016,"Last 10 Games Power Rating","7.5"
5509,"Marquette",2016,"Last 10 Games Power Rating","7.0"
5510,"Alabama",2016,"Last 10 Games Power Rating","6.5"
5511,"NC State",2016,"Last 10 Games Power Rating","6.5"
5512,"Nebraska",2016,"Last 10 Games Power Rating","6.3"
5513,"Dayton",2016,"Last 10 Games Power Rating","5.8"
5514,"Vermont",2016,"Last 10 Games Power Rating","5.4"
5515,"Akron",2016,"Last 10 Games Power Rating","5.2"
5516,"S Dakota St",2016,"Last 10 Games Power Rating","4.9"
5517,"Illinois",2016,"Last 10 Games Power Rating","4.6"
5518,"Boise St",2016,"Last 10 Games Power Rating","4.5"
5519,"James Mad",2016,"Last 10 Games Power Rating","4.4"
5520,"Tennessee",2016,"Last 10 Games Power Rating","4.2"
5521,"UAB",2016,"Last 10 Games Power Rating","2.8"
5522,"Col Charlestn",2016,"Last 10 Games Power Rating","2.4"
5523,"Morehead St",2016,"Last 10 Games Power Rating","1.8"
5524,"Wagner",2016,"Last 10 Games Power Rating","1.8"
5525,"W Kentucky",2016,"Last 10 Games Power Rating","1.7"
5526,"Lg Beach St",2016,"Last 10 Games Power Rating","1.2"
5527,"Nevada",2016,"Last 10 Games Power Rating","1.0"
5528,"Colorado St",2016,"Last 10 Games Power Rating","0.4"
5529,"St Peters",2016,"Last 10 Games Power Rating","-2.0"
5530,"Duquesne",2016,"Last 10 Games Power Rating","-2.3"
5531,"Grd Canyon",2016,"Last 10 Games Power Rating","-2.9"
5532,"New Mexico",2016,"Last 10 Games Power Rating","-2.9"
5533,"Montana St",2016,"Last 10 Games Power Rating","-3.3"
5534,"Samford",2016,"Last 10 Games Power Rating","-4.7"
5535,"Stetson",2016,"Last 10 Games Power Rating","-5.1"
5536,"Auburn",2016,"Last 10 Games Power Rating","-5.6"
5537,"Colgate",2016,"Last 10 Games Power Rating","-6.7"
5538,"Wash State",2016,"Last 10 Games Power Rating","-6.9"
5539,"Longwood",2016,"Last 10 Games Power Rating","-7.0"
5540,"Drake",2016,"Last 10 Games Power Rating","-7.3"
5541,"McNeese St",2016,"Last 10 Games Power Rating","-14.9"
5542,"Grambling St",2016,"Last 10 Games Power Rating","-15.8"
5543,"Howard",2016,"Last 10 Games Power Rating","-16.7"
5544,"Grd Canyon",2016,"Luck Power Rating","3.4"
5545,"Alabama",2016,"Luck Power Rating","3.4"
5546,"Oregon",2016,"Luck Power Rating","3.2"
5547,"Lg Beach St",2016,"Luck Power Rating","2.8"
5548,"Texas Tech",2016,"Luck Power Rating","2.5"
5549,"S Carolina",2016,"Luck Power Rating","2.5"
5550,"Dayton",2016,"Luck Power Rating","2.5"
5551,"Marquette",2016,"Luck Power Rating","2.4"
5552,"Kansas",2016,"Luck Power Rating","2.3"
5553,"UAB",2016,"Luck Power Rating","2.2"
5554,"Colorado",2016,"Luck Power Rating","2.1"
5555,"Auburn",2016,"Luck Power Rating","2.0"
5556,"S Dakota St",2016,"Luck Power Rating","1.9"
5557,"Nevada",2016,"Luck Power Rating","1.8"
5558,"Texas",2016,"Luck Power Rating","1.5"
5559,"St Marys",2016,"Luck Power Rating","1.2"
5560,"Akron",2016,"Luck Power Rating","1.2"
5561,"San Diego St",2016,"Luck Power Rating","1.2"
5562,"Houston",2016,"Luck Power Rating","0.9"
5563,"Yale",2016,"Luck Power Rating","0.7"
5564,"Virginia",2016,"Luck Power Rating","0.7"
5565,"Baylor",2016,"Luck Power Rating","0.7"
5566,"Texas A&M",2016,"Luck Power Rating","0.6"
5567,"W Kentucky",2016,"Luck Power Rating","0.5"
5568,"Wagner",2016,"Luck Power Rating","0.5"
5569,"Wisconsin",2016,"Luck Power Rating","0.4"
5570,"Montana St",2016,"Luck Power Rating","0.3"
5571,"N Carolina",2016,"Luck Power Rating","0.3"
5572,"Northwestern",2016,"Luck Power Rating","0.2"
5573,"Morehead St",2016,"Luck Power Rating","0.1"
5574,"Iowa St",2016,"Luck Power Rating","0.0"
5575,"Colgate",2016,"Luck Power Rating","0.0"
5576,"Duquesne",2016,"Luck Power Rating","-0.1"
5577,"Vermont",2016,"Luck Power Rating","-0.2"
5578,"James Mad",2016,"Luck Power Rating","-0.3"
5579,"St Peters",2016,"Luck Power Rating","-0.3"
5580,"Illinois",2016,"Luck Power Rating","-0.3"
5581,"Col Charlestn",2016,"Luck Power Rating","-0.4"
5582,"Oakland",2016,"Luck Power Rating","-0.5"
5583,"Purdue",2016,"Luck Power Rating","-0.5"
5584,"Colorado St",2016,"Luck Power Rating","-0.6"
5585,"Wash State",2016,"Luck Power Rating","-0.8"
5586,"Gonzaga",2016,"Luck Power Rating","-1.1"
5587,"Howard",2016,"Luck Power Rating","-1.2"
5588,"McNeese St",2016,"Luck Power Rating","-1.3"
5589,"Boise St",2016,"Luck Power Rating","-1.4"
5590,"Connecticut",2016,"Luck Power Rating","-1.4"
5591,"NC State",2016,"Luck Power Rating","-1.5"
5592,"Kentucky",2016,"Luck Power Rating","-1.5"
5593,"Stetson",2016,"Luck Power Rating","-1.6"
5594,"Tennessee",2016,"Luck Power Rating","-1.6"
5595,"Arizona",2016,"Luck Power Rating","-1.6"
5596,"Florida",2016,"Luck Power Rating","-1.7"
5597,"Samford",2016,"Luck Power Rating","-1.8"
5598,"Duke",2016,"Luck Power Rating","-1.8"
5599,"Clemson",2016,"Luck Power Rating","-1.9"
5600,"New Mexico",2016,"Luck Power Rating","-1.9"
5601,"Nebraska",2016,"Luck Power Rating","-2.0"
5602,"Longwood",2016,"Luck Power Rating","-2.4"
5603,"Creighton",2016,"Luck Power Rating","-2.5"
5604,"BYU",2016,"Luck Power Rating","-2.5"
5605,"Grambling St",2016,"Luck Power Rating","-2.9"
5606,"Drake",2016,"Luck Power Rating","-4.5"
5607,"Iowa St",2016,"Consistency Power Rating","7.8"
5608,"Col Charlestn",2016,"Consistency Power Rating","7.8"
5609,"Texas Tech",2016,"Consistency Power Rating","8.0"
5610,"Morehead St",2016,"Consistency Power Rating","8.0"
5611,"Lg Beach St",2016,"Consistency Power Rating","8.3"
5612,"Duke",2016,"Consistency Power Rating","8.5"
5613,"N Carolina",2016,"Consistency Power Rating","8.5"
5614,"S Dakota St",2016,"Consistency Power Rating","8.9"
5615,"Boise St",2016,"Consistency Power Rating","8.9"
5616,"Colorado",2016,"Consistency Power Rating","9.0"
5617,"Virginia",2016,"Consistency Power Rating","9.0"
5618,"Drake",2016,"Consistency Power Rating","9.0"
5619,"Nevada",2016,"Consistency Power Rating","9.0"
5620,"Samford",2016,"Consistency Power Rating","9.2"
5621,"Florida",2016,"Consistency Power Rating","9.2"
5622,"W Kentucky",2016,"Consistency Power Rating","9.2"
5623,"Gonzaga",2016,"Consistency Power Rating","9.5"
5624,"Marquette",2016,"Consistency Power Rating","9.5"
5625,"Colorado St",2016,"Consistency Power Rating","9.5"
5626,"NC State",2016,"Consistency Power Rating","9.5"
5627,"McNeese St",2016,"Consistency Power Rating","9.5"
5628,"Clemson",2016,"Consistency Power Rating","9.6"
5629,"Creighton",2016,"Consistency Power Rating","9.6"
5630,"Montana St",2016,"Consistency Power Rating","9.6"
5631,"Howard",2016,"Consistency Power Rating","9.7"
5632,"Wisconsin",2016,"Consistency Power Rating","9.7"
5633,"Longwood",2016,"Consistency Power Rating","9.8"
5634,"Alabama",2016,"Consistency Power Rating","9.8"
5635,"Purdue",2016,"Consistency Power Rating","9.9"
5636,"S Carolina",2016,"Consistency Power Rating","10.1"
5637,"Arizona",2016,"Consistency Power Rating","10.1"
5638,"Grd Canyon",2016,"Consistency Power Rating","10.2"
5639,"St Marys",2016,"Consistency Power Rating","10.3"
5640,"Connecticut",2016,"Consistency Power Rating","10.3"
5641,"Kansas",2016,"Consistency Power Rating","10.4"
5642,"Northwestern",2016,"Consistency Power Rating","10.5"
5643,"Wash State",2016,"Consistency Power Rating","10.6"
5644,"James Mad",2016,"Consistency Power Rating","10.6"
5645,"Akron",2016,"Consistency Power Rating","10.6"
5646,"Nebraska",2016,"Consistency Power Rating","10.7"
5647,"Texas A&M",2016,"Consistency Power Rating","10.7"
5648,"Yale",2016,"Consistency Power Rating","10.7"
5649,"Oregon",2016,"Consistency Power Rating","10.8"
5650,"Colgate",2016,"Consistency Power Rating","11.2"
5651,"Illinois",2016,"Consistency Power Rating","11.2"
5652,"Wagner",2016,"Consistency Power Rating","11.2"
5653,"Grambling St",2016,"Consistency Power Rating","11.3"
5654,"St Peters",2016,"Consistency Power Rating","11.3"
5655,"Duquesne",2016,"Consistency Power Rating","11.3"
5656,"Kentucky",2016,"Consistency Power Rating","11.3"
5657,"Baylor",2016,"Consistency Power Rating","11.3"
5658,"UAB",2016,"Consistency Power Rating","11.4"
5659,"Stetson",2016,"Consistency Power Rating","11.5"
5660,"Tennessee",2016,"Consistency Power Rating","11.6"
5661,"Vermont",2016,"Consistency Power Rating","11.6"
5662,"Texas",2016,"Consistency Power Rating","11.7"
5663,"Dayton",2016,"Consistency Power Rating","12.0"
5664,"Houston",2016,"Consistency Power Rating","12.2"
5665,"Oakland",2016,"Consistency Power Rating","12.3"
5666,"Auburn",2016,"Consistency Power Rating","12.3"
5667,"San Diego St",2016,"Consistency Power Rating","12.5"
5668,"BYU",2016,"Consistency Power Rating","12.5"
5669,"New Mexico",2016,"Consistency Power Rating","13.5"
5670,"Virginia",2016,"Vs. Teams 1-25 Power Rating","25.3"
5671,"Oregon",2016,"Vs. Teams 1-25 Power Rating","22.6"
5672,"N Carolina",2016,"Vs. Teams 1-25 Power Rating","21.8"
5673,"Kansas",2016,"Vs. Teams 1-25 Power Rating","20.7"
5674,"Kentucky",2016,"Vs. Teams 1-25 Power Rating","19.9"
5675,"Duke",2016,"Vs. Teams 1-25 Power Rating","17.6"
5676,"Texas A&M",2016,"Vs. Teams 1-25 Power Rating","17.4"
5677,"Clemson",2016,"Vs. Teams 1-25 Power Rating","16.4"
5678,"Wisconsin",2016,"Vs. Teams 1-25 Power Rating","15.9"
5679,"Houston",2016,"Vs. Teams 1-25 Power Rating","15.7"
5680,"Iowa St",2016,"Vs. Teams 1-25 Power Rating","14.4"
5681,"St Marys",2016,"Vs. Teams 1-25 Power Rating","14.1"
5682,"Texas",2016,"Vs. Teams 1-25 Power Rating","13.9"
5683,"Purdue",2016,"Vs. Teams 1-25 Power Rating","13.5"
5684,"BYU",2016,"Vs. Teams 1-25 Power Rating","12.7"
5685,"Oakland",2016,"Vs. Teams 1-25 Power Rating","12.6"
5686,"Texas Tech",2016,"Vs. Teams 1-25 Power Rating","11.8"
5687,"Florida",2016,"Vs. Teams 1-25 Power Rating","11.4"
5688,"Arizona",2016,"Vs. Teams 1-25 Power Rating","11.3"
5689,"NC State",2016,"Vs. Teams 1-25 Power Rating","11.2"
5690,"Baylor",2016,"Vs. Teams 1-25 Power Rating","11.2"
5691,"Gonzaga",2016,"Vs. Teams 1-25 Power Rating","11.1"
5692,"Yale",2016,"Vs. Teams 1-25 Power Rating","10.4"
5693,"Dayton",2016,"Vs. Teams 1-25 Power Rating","10.4"
5694,"New Mexico",2016,"Vs. Teams 1-25 Power Rating","10.2"
5695,"Colorado",2016,"Vs. Teams 1-25 Power Rating","10.2"
5696,"Boise St",2016,"Vs. Teams 1-25 Power Rating","9.7"
5697,"Tennessee",2016,"Vs. Teams 1-25 Power Rating","9.3"
5698,"S Carolina",2016,"Vs. Teams 1-25 Power Rating","8.3"
5699,"Creighton",2016,"Vs. Teams 1-25 Power Rating","8.0"
5700,"Connecticut",2016,"Vs. Teams 1-25 Power Rating","7.3"
5701,"Nebraska",2016,"Vs. Teams 1-25 Power Rating","6.2"
5702,"James Mad",2016,"Vs. Teams 1-25 Power Rating","6.2"
5703,"Alabama",2016,"Vs. Teams 1-25 Power Rating","4.5"
5704,"Akron",2016,"Vs. Teams 1-25 Power Rating","4.0"
5705,"Northwestern",2016,"Vs. Teams 1-25 Power Rating","1.9"
5706,"Marquette",2016,"Vs. Teams 1-25 Power Rating","1.5"
5707,"San Diego St",2016,"Vs. Teams 1-25 Power Rating","0.7"
5708,"Illinois",2016,"Vs. Teams 1-25 Power Rating","0.2"
5709,"S Dakota St",2016,"Vs. Teams 1-25 Power Rating","--"
5710,"UAB",2016,"Vs. Teams 1-25 Power Rating","--"
5711,"Duquesne",2016,"Vs. Teams 1-25 Power Rating","--"
5712,"Colorado St",2016,"Vs. Teams 1-25 Power Rating","--"
5713,"Wagner",2016,"Vs. Teams 1-25 Power Rating","--"
5714,"St Peters",2016,"Vs. Teams 1-25 Power Rating","--"
5715,"Colgate",2016,"Vs. Teams 1-25 Power Rating","--"
5716,"Montana St",2016,"Vs. Teams 1-25 Power Rating","--"
5717,"Longwood",2016,"Vs. Teams 1-25 Power Rating","--"
5718,"Grambling St",2016,"Vs. Teams 1-25 Power Rating","--"
5719,"Auburn",2016,"Vs. Teams 1-25 Power Rating","-1.6"
5720,"Col Charlestn",2016,"Vs. Teams 1-25 Power Rating","-1.8"
5721,"Wash State",2016,"Vs. Teams 1-25 Power Rating","-2.1"
5722,"Drake",2016,"Vs. Teams 1-25 Power Rating","-2.4"
5723,"Lg Beach St",2016,"Vs. Teams 1-25 Power Rating","-3.4"
5724,"W Kentucky",2016,"Vs. Teams 1-25 Power Rating","-5.5"
5725,"Vermont",2016,"Vs. Teams 1-25 Power Rating","-5.8"
5726,"Nevada",2016,"Vs. Teams 1-25 Power Rating","-10.2"
5727,"Morehead St",2016,"Vs. Teams 1-25 Power Rating","-11.7"
5728,"McNeese St",2016,"Vs. Teams 1-25 Power Rating","-15.5"
5729,"Howard",2016,"Vs. Teams 1-25 Power Rating","-15.8"
5730,"Stetson",2016,"Vs. Teams 1-25 Power Rating","-17.8"
5731,"Samford",2016,"Vs. Teams 1-25 Power Rating","-18.6"
5732,"Grd Canyon",2016,"Vs. Teams 1-25 Power Rating","-25.6"
5733,"Kansas",2016,"Vs. Teams 26-50 Power Rating","32.0"
5734,"Kentucky",2016,"Vs. Teams 26-50 Power Rating","31.2"
5735,"N Carolina",2016,"Vs. Teams 26-50 Power Rating","22.9"
5736,"Purdue",2016,"Vs. Teams 26-50 Power Rating","21.2"
5737,"Oregon",2016,"Vs. Teams 26-50 Power Rating","20.0"
5738,"San Diego St",2016,"Vs. Teams 26-50 Power Rating","19.8"
